devtx_packetsStaticSta,phytx_packetsStaticSta,retransmissionsStaticSta,avg_datarateStaticSta,ocupacionStaticSta,throughputStaticSta,goodThroughputStaticSta,retransmissionsPerPacket,w,c,tam_red,num_stas
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,100.0,7.0
4.0,3.0,0.0,6.0,0.05461333333333333,0.19328,0.17968,0.0,5.0,7.0,100.0,7.0
5.0,5.0,0.0,7.2,0.05688888888888888,0.436,0.436,0.0,5.0,7.0,100.0,7.0
5.0,5.0,0.0,9.0,0.045511111111111106,0.436,0.436,0.0,5.0,7.0,100.0,7.0
5.0,5.0,0.0,12.0,0.03413333333333333,0.436,0.436,0.0,5.0,7.0,100.0,7.0
5.0,5.0,0.0,15.6,0.026256410256410255,0.436,0.436,0.0,5.0,7.0,100.0,7.0
5.0,5.0,0.0,19.2,0.021333333333333333,0.436,0.436,0.0,5.0,7.0,100.0,7.0
5.0,5.0,0.0,24.0,0.017066666666666664,0.436,0.436,0.0,5.0,7.0,100.0,7.0
5.0,5.0,0.0,33.6,0.012190476190476189,0.436,0.436,0.0,5.0,7.0,100.0,7.0
4.0,4.0,0.0,39.0,0.00840205128205128,0.3488,0.3488,0.0,5.0,7.0,100.0,7.0
5.0,5.0,0.0,48.0,0.008533333333333332,0.436,0.436,0.0,5.0,7.0,100.0,7.0
5.0,5.0,0.0,52.8,0.007757575757575757,0.436,0.436,0.0,5.0,7.0,100.0,7.0
5.0,5.0,0.0,54.0,0.007585185185185184,0.436,0.436,0.0,5.0,7.0,100.0,7.0
5.0,5.0,0.0,54.0,0.007585185185185184,0.436,0.436,0.0,5.0,7.0,100.0,7.0
5.0,5.0,0.0,54.0,0.007585185185185184,0.436,0.436,0.0,5.0,7.0,100.0,7.0
5.0,5.0,0.0,54.0,0.007585185185185184,0.436,0.436,0.0,5.0,7.0,100.0,7.0
5.0,5.0,0.0,54.0,0.007585185185185184,0.436,0.436,0.0,5.0,7.0,100.0,7.0
5.0,5.0,0.0,54.0,0.007585185185185184,0.436,0.3488,0.0,5.0,7.0,100.0,7.0
4.0,4.0,0.0,54.0,0.006068148148148148,0.3488,0.436,0.0,5.0,7.0,100.0,7.0
5.0,5.0,0.0,54.0,0.007585185185185184,0.436,0.436,0.0,5.0,7.0,100.0,7.0
5.0,5.0,0.0,54.0,0.007585185185185184,0.436,0.436,0.0,5.0,7.0,100.0,7.0
5.0,5.0,0.0,54.0,0.007585185185185184,0.436,0.436,0.0,5.0,7.0,100.0,7.0
5.0,5.0,0.0,54.0,0.007585185185185184,0.436,0.436,0.0,5.0,7.0,100.0,7.0
5.0,5.0,0.0,54.0,0.007585185185185184,0.436,0.436,0.0,5.0,7.0,100.0,7.0
5.0,5.0,0.0,54.0,0.007585185185185184,0.436,0.436,0.0,5.0,7.0,100.0,7.0
5.0,5.0,0.0,54.0,0.007585185185185184,0.436,0.436,0.0,5.0,7.0,100.0,7.0
4.0,4.0,0.0,54.0,0.006068148148148148,0.3488,0.3488,0.0,5.0,7.0,100.0,7.0
5.0,5.0,0.0,54.0,0.007585185185185184,0.436,0.436,0.0,5.0,7.0,100.0,7.0
5.0,5.0,0.0,54.0,0.007585185185185184,0.436,0.436,0.0,5.0,7.0,100.0,7.0
5.0,5.0,0.0,54.0,0.007585185185185184,0.436,0.436,0.0,5.0,7.0,100.0,7.0
5.0,5.0,0.0,54.0,0.007585185185185184,0.436,0.436,0.0,5.0,7.0,100.0,7.0
5.0,5.0,0.0,54.0,0.007585185185185184,0.436,0.436,0.0,5.0,7.0,100.0,7.0
5.0,5.0,0.0,54.0,0.007585185185185184,0.436,0.436,0.0,5.0,7.0,100.0,7.0
5.0,5.0,0.0,54.0,0.007585185185185184,0.436,0.436,0.0,5.0,7.0,100.0,7.0
5.0,5.0,0.0,54.0,0.007585185185185184,0.436,0.436,0.0,5.0,7.0,100.0,7.0
